"","x"
"1",2550.63333333333
"2",2523.4
"3",2582.33333333333
"4",2541.66666666667
"5",2475.73333333333
"6",2476.23333333333
"7",2455.8
"8",2447.2
"9",2441.73333333333
"10",3146.13333333333
"11",2661.73333333333
"12",2576
"13",2615.86666666667
"14",2162.4
"15",1294.4
"16",1909.16666666667
"17",1390.1
"18",1632.06666666667
"19",1461.9
"20",732.3
"21",412.3
"22",433.933333333333
"23",443.733333333333
"24",449.966666666667
"25",446.433333333333
"26",436.733333333333
"27",431.566666666667
"28",464.166666666667
"29",1039.96666666667
"30",710.6
"31",446.966666666667
"32",412.566666666667
"33",454.4
"34",417.633333333333
"35",445.9
"36",432.766666666667
"37",425.966666666667
"38",459
"39",438.433333333333
"40",1438.1
"41",1459.06666666667
"42",2136.2
"43",1972.06666666667
"44",1518.3
"45",2573.53333333333
"46",1321.43333333333
"47",528.233333333333
"48",743.9
"49",1125.43333333333
"50",900.7
"51",304.833333333333
"52",333.3
"53",298.833333333333
"54",951.633333333333
"55",334.333333333333
"56",301.7
"57",319.6
"58",602.5
"59",874.233333333333
"60",976.4
"61",1397.76666666667
"62",1419.93333333333
"63",1090.36666666667
"64",302
"65",367.666666666667
"66",285.133333333333
"67",361.2
"68",289
"69",326.266666666667
"70",1115.43333333333
"71",954.033333333333
"72",1668.6
"73",3375.06666666667
"74",2896.73333333333
"75",2387.33333333333
"76",2362.03333333333
"77",2370.03333333333
"78",2345.2
"79",2358.73333333333
"80",2326.23333333333
"81",2403.8
"82",2667.06666666667
"83",1898.03333333333
"84",2006.33333333333
"85",4066.56666666667
"86",3545.06666666667
"87",2013.2
"88",879.3
"89",3289.8
"90",2741.3
"91",2605.5
"92",2854.06666666667
"93",1498.53333333333
"94",478.8
"95",419.666666666667
"96",535.133333333333
"97",1968.03333333333
"98",2386.83333333333
"99",2394.73333333333
"100",2415.7
"101",2397.03333333333
"102",2407.36666666667
"103",2367.8
"104",2351.53333333333
"105",2316.93333333333
"106",2364.2
"107",2656.03333333333
"108",355.833333333333
"109",354.4
"110",341.766666666667
"111",377.333333333333
"112",477.833333333333
"113",836.5
"114",2240.73333333333
"115",2399.6
"116",2038.9
"117",2975.7
"118",2674.4
"119",2384.7
"120",1738.83333333333
"121",1493.06666666667
"122",433.466666666667
"123",333.333333333333
"124",312.866666666667
"125",303.566666666667
"126",335.266666666667
"127",298.733333333333
"128",337
"129",295.4
"130",623.133333333333
"131",1525.56666666667
"132",2592.2
"133",4002.93333333333
"134",1890.43333333333
"135",1699.56666666667
"136",1148.7
"137",881.266666666667
"138",898.966666666667
"139",855.533333333333
"140",1834.03333333333
"141",1015.13333333333
"142",1012.53333333333
"143",511.666666666667
"144",505.266666666667
"145",903.2
"146",296.433333333333
"147",352.4
"148",298.666666666667
"149",355.866666666667
"150",285.366666666667
"151",338.3
"152",312.733333333333
"153",310.033333333333
"154",375.6
"155",1041.43333333333
"156",1068.43333333333
"157",551.566666666667
"158",3331.93333333333
"159",2533.1
"160",3770.76666666667
"161",2280.76666666667
"162",2404.73333333333
"163",5211.53333333333
"164",2916.46666666667
"165",3523.2
"166",4738.36666666667
"167",2128.9
"168",1463.86666666667
"169",1360.46666666667
"170",1350.66666666667
"171",1384.83333333333
"172",1356.9
"173",1375.9
"174",1104.53333333333
"175",468.133333333333
"176",1012.63333333333
"177",2139.5
"178",1664.63333333333
"179",1296.63333333333
"180",1175.1
"181",328.933333333333
"182",643.2
"183",1850.9
"184",1885.1
"185",2122.43333333333
"186",1898.1
"187",2907.96666666667
"188",2794.06666666667
"189",3425.03333333333
"190",2507.63333333333
"191",969.966666666667
"192",332.733333333333
"193",269.833333333333
"194",311.833333333333
"195",287.4
"196",469.666666666667
"197",661.2
"198",274.5
"199",1123.46666666667
"200",2386.96666666667
"201",2135.6
"202",1868.36666666667
"203",1349.23333333333
"204",934.733333333333
"205",276.933333333333
"206",301.566666666667
"207",266.666666666667
"208",564.833333333333
"209",1471.33333333333
"210",2106.26666666667
"211",2373.06666666667
"212",2287.46666666667
"213",3210.6
"214",3292.46666666667
"215",1291.26666666667
"216",1635.63333333333
"217",517.9
"218",653.9
"219",340.366666666667
"220",269.366666666667
"221",346.9
"222",267.966666666667
"223",897.6
"224",2362.9
"225",2972.93333333333
"226",1995.23333333333
"227",1427.1
"228",3970.76666666667
"229",1430.76666666667
"230",553.766666666667
"231",1695.4
"232",1291.23333333333
"233",683.533333333333
"234",1824.4
"235",3364.4
"236",3190.23333333333
"237",2933.93333333333
"238",1694.7
"239",851.9
"240",376.133333333333
"241",336.5
"242",254.6
"243",308.666666666667
"244",892.166666666667
"245",270.5
"246",297.6
"247",736.366666666667
"248",2702.16666666667
"249",2505.26666666667
"250",1370.2
"251",1369.73333333333
"252",1151.83333333333
"253",300.333333333333
"254",395.2
"255",327.2
"256",541.633333333333
"257",2613.2
"258",3238.23333333333
"259",3869.13333333333
"260",4784.2
"261",3706.26666666667
"262",2880.36666666667
"263",1448.1
"264",1287.1
